epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,16079.5,1.54846,1.41087,1.59533,0.69497,0.60791,0.67252,0.36674,1.52277,1.18896,1.53312,0.0083665,0.0083665,0.0083665
68,16319.7,1.54436,1.40778,1.59369,0.70652,0.60361,0.67191,0.36734,1.521,1.19081,1.53153,0.00834175,0.00834175,0.00834175
69,16559.8,1.54357,1.3992,1.59458,0.70618,0.59759,0.67074,0.36701,1.52115,1.19079,1.53091,0.008317,0.008317,0.008317
70,16799.7,1.54179,1.40418,1.58943,0.70696,0.60017,0.67371,0.36703,1.51973,1.1899,1.52925,0.00829225,0.00829225,0.00829225
71,17042.9,1.53874,1.39219,1.60458,0.70284,0.6006,0.67434,0.3675,1.51916,1.18895,1.52893,0.0082675,0.0082675,0.0082675
72,17283.4,1.54209,1.38919,1.59823,0.69979,0.60331,0.67265,0.36786,1.51876,1.18964,1.52898,0.00824275,0.00824275,0.00824275
73,17523.4,1.53407,1.38342,1.58952,0.695,0.61049,0.67376,0.36797,1.51862,1.1899,1.52819,0.008218,0.008218,0.008218
74,17763.6,1.54745,1.40153,1.59142,0.69752,0.61393,0.67586,0.36876,1.51785,1.18894,1.52742,0.00819325,0.00819325,0.00819325
75,18007.6,1.54306,1.39355,1.59137,0.69244,0.61694,0.67583,0.36906,1.51685,1.18806,1.52625,0.0081685,0.0081685,0.0081685
76,18256.4,1.53176,1.37828,1.59139,0.69506,0.61307,0.67612,0.36934,1.51642,1.18649,1.5267,0.00814375,0.00814375,0.00814375
77,18500.4,1.53638,1.38293,1.59156,0.69802,0.61737,0.67977,0.36971,1.51637,1.18526,1.52694,0.008119,0.008119,0.008119
78,18740.5,1.5303,1.38113,1.58912,0.70434,0.61092,0.67825,0.36981,1.51503,1.1848,1.52653,0.00809425,0.00809425,0.00809425
79,18980.5,1.54108,1.38359,1.60359,0.70063,0.61522,0.68038,0.3707,1.51429,1.1854,1.52608,0.0080695,0.0080695,0.0080695
80,19220.9,1.52289,1.36198,1.58525,0.7052,0.61006,0.68071,0.37089,1.51375,1.18292,1.52646,0.00804475,0.00804475,0.00804475
81,19461.1,1.53451,1.38066,1.59883,0.70917,0.60662,0.6811,0.37062,1.51263,1.18096,1.52649,0.00802,0.00802,0.00802
82,19701.2,1.53604,1.36382,1.59589,0.70952,0.60748,0.68222,0.37142,1.51172,1.17948,1.52601,0.00799525,0.00799525,0.00799525
83,19941.5,1.53439,1.37328,1.59369,0.70985,0.6069,0.68302,0.37189,1.51104,1.17824,1.52573,0.0079705,0.0079705,0.0079705
84,20181.9,1.52705,1.37052,1.59285,0.71476,0.60447,0.68282,0.37269,1.51053,1.17689,1.52604,0.00794575,0.00794575,0.00794575
85,20422.3,1.52908,1.36044,1.58179,0.71343,0.6058,0.68266,0.3725,1.51005,1.17618,1.52538,0.007921,0.007921,0.007921
86,20662.2,1.52601,1.37093,1.58181,0.71628,0.60348,0.68319,0.373,1.51019,1.17516,1.52534,0.00789625,0.00789625,0.00789625
87,20902.2,1.52387,1.36223,1.58189,0.71534,0.60176,0.68332,0.37316,1.50981,1.17547,1.52505,0.0078715,0.0078715,0.0078715
88,21142.6,1.51748,1.36013,1.57866,0.712,0.60619,0.68317,0.37317,1.5099,1.17336,1.52499,0.00784675,0.00784675,0.00784675
89,21382.7,1.51648,1.34979,1.57505,0.71353,0.60404,0.68345,0.37371,1.50945,1.1728,1.52466,0.007822,0.007822,0.007822
90,21623.4,1.5122,1.34662,1.56468,0.71255,0.6092,0.68407,0.37365,1.50894,1.17106,1.5242,0.00779725,0.00779725,0.00779725
91,21863.9,1.51392,1.33706,1.56898,0.71052,0.60834,0.68301,0.37393,1.50859,1.17046,1.52424,0.0077725,0.0077725,0.0077725
92,22104.2,1.51766,1.35448,1.57787,0.71172,0.60819,0.68383,0.37396,1.50746,1.16956,1.52318,0.00774775,0.00774775,0.00774775
93,22344.5,1.51896,1.35213,1.56978,0.71397,0.60834,0.68389,0.37388,1.50755,1.16847,1.52258,0.007723,0.007723,0.007723
94,22584.7,1.50302,1.33736,1.56612,0.71411,0.60834,0.68458,0.37403,1.50686,1.16745,1.52193,0.00769825,0.00769825,0.00769825
95,22825,1.5171,1.33911,1.57045,0.71604,0.60748,0.68509,0.37375,1.50647,1.16695,1.52106,0.0076735,0.0076735,0.0076735
96,23065.5,1.50814,1.33444,1.57593,0.71554,0.60705,0.68409,0.37383,1.50665,1.16605,1.52136,0.00764875,0.00764875,0.00764875
97,23305.8,1.51225,1.33032,1.57211,0.71846,0.60791,0.68445,0.37398,1.50649,1.16496,1.52112,0.007624,0.007624,0.007624
98,23546,1.50373,1.3358,1.5594,0.72189,0.60597,0.68494,0.37434,1.50587,1.16435,1.52052,0.00759925,0.00759925,0.00759925
99,23786.1,1.50379,1.33844,1.56892,0.72171,0.60619,0.68512,0.37469,1.50477,1.16462,1.52015,0.0075745,0.0075745,0.0075745
100,24026.4,1.51296,1.32807,1.56977,0.71623,0.61221,0.68588,0.37542,1.50398,1.16423,1.51936,0.00754975,0.00754975,0.00754975
101,24266.7,1.50793,1.33215,1.56089,0.71823,0.61259,0.68638,0.37585,1.50322,1.16405,1.5185,0.007525,0.007525,0.007525
102,24507.3,1.50148,1.34105,1.56273,0.71814,0.61221,0.68618,0.37616,1.50268,1.16369,1.51805,0.00750025,0.00750025,0.00750025
103,24747.3,1.50416,1.33154,1.56028,0.71829,0.61264,0.68684,0.37635,1.50165,1.1627,1.51717,0.0074755,0.0074755,0.0074755
104,24987.5,1.50567,1.31277,1.56761,0.71809,0.61178,0.68645,0.37626,1.50185,1.16201,1.51699,0.00745075,0.00745075,0.00745075
105,25227.3,1.501,1.3315,1.56008,0.7172,0.61264,0.68683,0.37675,1.50111,1.16072,1.51635,0.007426,0.007426,0.007426
106,25467.8,1.5063,1.33188,1.55585,0.71662,0.61307,0.68695,0.3772,1.50047,1.16049,1.51578,0.00740125,0.00740125,0.00740125
107,25708.1,1.50071,1.32106,1.55613,0.71634,0.61221,0.68735,0.37724,1.50087,1.15994,1.5158,0.0073765,0.0073765,0.0073765
108,25948.4,1.49598,1.30173,1.53896,0.7151,0.61186,0.68462,0.37729,1.50069,1.1598,1.51536,0.00735175,0.00735175,0.00735175
109,26188.8,1.4994,1.3295,1.55192,0.71529,0.61264,0.68419,0.3765,1.50006,1.1597,1.5148,0.007327,0.007327,0.007327
110,26429.1,1.49615,1.32021,1.55257,0.71411,0.6135,0.68523,0.37669,1.49991,1.1591,1.51463,0.00730225,0.00730225,0.00730225
111,26669.6,1.49554,1.30999,1.54929,0.71774,0.6135,0.68538,0.37608,1.5002,1.15873,1.51477,0.0072775,0.0072775,0.0072775
112,26910,1.49081,1.3029,1.55296,0.71824,0.61393,0.68601,0.37629,1.50015,1.15785,1.51443,0.00725275,0.00725275,0.00725275
113,27150.4,1.50217,1.31163,1.55195,0.71813,0.61479,0.68603,0.37651,1.5002,1.15686,1.51435,0.007228,0.007228,0.007228
114,27390.7,1.47478,1.28774,1.53429,0.71891,0.61608,0.68607,0.37601,1.49994,1.15617,1.51409,0.00720325,0.00720325,0.00720325
115,27631,1.49099,1.30422,1.5446,0.719,0.61491,0.68635,0.3765,1.50024,1.15544,1.51391,0.0071785,0.0071785,0.0071785
116,27871.4,1.48045,1.28965,1.53203,0.72008,0.61491,0.68621,0.37657,1.49984,1.1553,1.51305,0.00715375,0.00715375,0.00715375
117,28111.8,1.49169,1.28754,1.54149,0.72044,0.61522,0.68834,0.37683,1.50028,1.15325,1.51333,0.007129,0.007129,0.007129
118,28352,1.49418,1.30056,1.54751,0.72137,0.61608,0.68899,0.37738,1.50067,1.15315,1.51303,0.00710425,0.00710425,0.00710425
119,28592.6,1.4878,1.29539,1.54134,0.72188,0.61651,0.68922,0.37741,1.5005,1.15264,1.51243,0.0070795,0.0070795,0.0070795
120,28832.9,1.48592,1.27962,1.54059,0.72202,0.61694,0.68977,0.37749,1.50054,1.1522,1.51224,0.00705475,0.00705475,0.00705475
121,29073.4,1.49242,1.29581,1.54151,0.72154,0.61715,0.68954,0.37761,1.50053,1.15132,1.51205,0.00703,0.00703,0.00703
122,29313.9,1.47964,1.28583,1.53043,0.71984,0.61694,0.69035,0.37727,1.5007,1.15051,1.51194,0.00700525,0.00700525,0.00700525
123,29554.3,1.48832,1.2878,1.53449,0.72697,0.61586,0.6908,0.37745,1.50112,1.14952,1.51164,0.0069805,0.0069805,0.0069805
