epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,17337,1.50809,1.27232,1.50799,0.69346,0.6264,0.68184,0.37572,1.513,1.0932,1.45707,0.00839125,0.00839125,0.00839125
67,17599.9,1.50922,1.25719,1.49605,0.68907,0.62884,0.68343,0.3761,1.50979,1.08952,1.45569,0.0083665,0.0083665,0.0083665
68,17862.8,1.49842,1.25317,1.48879,0.69509,0.62855,0.68575,0.37699,1.50951,1.08849,1.45538,0.00834175,0.00834175,0.00834175
69,18125.9,1.50025,1.24719,1.48929,0.69575,0.62855,0.68589,0.37672,1.50804,1.08708,1.4543,0.008317,0.008317,0.008317
70,18389,1.50482,1.24648,1.49254,0.69632,0.6307,0.68562,0.37766,1.50886,1.08519,1.45468,0.00829225,0.00829225,0.00829225
71,18651.7,1.49733,1.24219,1.50156,0.70178,0.63156,0.68602,0.37789,1.50831,1.08482,1.45475,0.0082675,0.0082675,0.0082675
72,18915,1.50101,1.23841,1.49742,0.6968,0.6307,0.68657,0.37812,1.5084,1.0837,1.45517,0.00824275,0.00824275,0.00824275
73,19178.9,1.49532,1.23382,1.50102,0.69917,0.63328,0.68961,0.37877,1.50632,1.08169,1.454,0.008218,0.008218,0.008218
74,19441.5,1.50235,1.2497,1.48988,0.70162,0.63113,0.68843,0.37823,1.50423,1.08098,1.45248,0.00819325,0.00819325,0.00819325
75,19703.9,1.50048,1.2401,1.48936,0.70353,0.62855,0.68806,0.3787,1.50334,1.07938,1.4519,0.0081685,0.0081685,0.0081685
76,19966.1,1.49383,1.23285,1.49063,0.70372,0.62901,0.6885,0.3787,1.50259,1.07705,1.45129,0.00814375,0.00814375,0.00814375
77,20227.7,1.49221,1.23263,1.49146,0.70658,0.62944,0.68878,0.3794,1.50157,1.07535,1.45133,0.008119,0.008119,0.008119
78,20490,1.4884,1.23255,1.48694,0.70641,0.6264,0.68865,0.37951,1.50009,1.07478,1.45087,0.00809425,0.00809425,0.00809425
79,20752.4,1.49354,1.22907,1.49415,0.70648,0.63027,0.68949,0.37929,1.50033,1.07438,1.45112,0.0080695,0.0080695,0.0080695
80,21014.2,1.48649,1.21052,1.47923,0.70397,0.63081,0.69069,0.3793,1.50015,1.07317,1.4513,0.00804475,0.00804475,0.00804475
81,21276.4,1.49167,1.22525,1.48948,0.7052,0.6307,0.69115,0.3799,1.50053,1.0723,1.45153,0.00802,0.00802,0.00802
82,21538.9,1.4927,1.21415,1.48934,0.70607,0.63156,0.68999,0.37962,1.50063,1.07219,1.4516,0.00799525,0.00799525,0.00799525
83,21801,1.48663,1.21768,1.48161,0.70654,0.63554,0.69062,0.37988,1.49926,1.07243,1.45077,0.0079705,0.0079705,0.0079705
84,22063.1,1.48711,1.21284,1.48849,0.70508,0.63371,0.68866,0.37936,1.4983,1.07226,1.45003,0.00794575,0.00794575,0.00794575
85,22325.5,1.4816,1.20609,1.47558,0.70807,0.63193,0.69015,0.3794,1.49901,1.07097,1.4504,0.007921,0.007921,0.007921
86,22587.3,1.48145,1.21307,1.47776,0.70645,0.63113,0.68969,0.37931,1.49787,1.07037,1.45004,0.00789625,0.00789625,0.00789625
